Trend,Win-Loss Record,Win %,MOV,ATS +/-,
As Home Favorite,90-35-0,72.00%,8.3,2.5,
After A Bye,17-7-0,70.80%,5.8,4.2,
As Favorite,129-59-0,68.60%,7.8,2.3,
With Rest Advantage,39-20-0,66.10%,4.5,3.5,
As Away Favorite,37-21-0,63.80%,6.9,2.1,
As Home Team,115-73-0,61.20%,3.8,1.4,
Non-Conference Games,55-41-0,57.30%,1.7,1.4,
Non-Division Games,126-117-0,51.90%,1.2,1.1,
After A Loss,87-83-0,51.20%,-0.3,0.9,
Regular Season Games,187-179-0,51.10%,0.9,0.9,
All Games,194-187-0,50.90%,0.9,0.9,
With Rest Disadvantage,33-32-0,50.80%,1.8,0.9,
After A Win,95-93-0,50.50%,1.7,0.4,
Division Games,68-70-0,49.30%,0.3,0.5,
Conference Games,139-146-0,48.80%,0.6,0.7,
With Equal Rest,122-135-0,47.50%,-0.2,0.3,
Playoff Games,7/8/00,46.70%,1.7,0,
As Away Team,76-109-0,41.10%,-2.2,0.3,
As Home Underdog,24-37-0,39.30%,-5.5,-0.8,
At Neutral Site,3/5/00,37.50%,3,1.6,
As Underdog,63-126-0,33.30%,-5.9,-0.4,
As Away Underdog,38-87-0,30.40%,-6.2,-0.3,